Season	Family	Species	Interval	TreeNumber	MeanGs	MeanLWP
Summer17	Combretaceae	BU	2	1	59.96666667	40
Summer17	Combretaceae	BU	2	2	40.34	56
Summer17	Combretaceae	BU	2	6	45.52	41.5
Summer17	Combretaceae	BU	2	8	70.25	42.5
Summer17	Combretaceae	BU	3	7	39.03333333	46
Summer17	Combretaceae	BU	3	1	37.06666667	42
Summer17	Combretaceae	BU	3	2	36.23333333	57
Summer17	Combretaceae	BU	3	6	44.28	43.5
Summer17	Combretaceae	BU	3	8	37.8	43
Summer17	Combretaceae	BU	4	7	44.83333333	47.5
Summer17	Combretaceae	BU	4	1	35.875	41.5
Summer17	Combretaceae	BU	4	2	35.7	57.5
Summer17	Combretaceae	BU	4	6	40.73333333	45
Summer17	Combretaceae	BU	4	8	35.63333333	42
Summer17	Combretaceae	BU	5	7	50.56666667	48.5
Summer17	Combretaceae	BU	5	1	39.5	42
Summer17	Combretaceae	BU	5	2	39	60
Summer17	Combretaceae	BU	5	6	47.5	44.5
Summer17	Combretaceae	BU	5	8	37.8	43.5
Summer17	Combretaceae	BU	6	7	55.8	49.5
Summer17	Combretaceae	BU	6	1	42	43.5
Summer17	Combretaceae	BU	6	2	43.7	63
Summer17	Combretaceae	BU	6	6	46.925	46
Summer17	Combretaceae	BU	6	8	36.06666667	44
Spring17	Rhamnaceae	CA	1	6	208.1333333	11.5
Spring17	Rhamnaceae	CA	1	7	131.2333333	8
Spring17	Rhamnaceae	CA	1	8	168.7666667	13
Spring17	Rhamnaceae	CA	2	6	207.8333333	17.5
Spring17	Rhamnaceae	CA	2	7	207.5666667	13
Spring17	Rhamnaceae	CA	2	8	265.8	15
Spring17	Rhamnaceae	CA	3	6	197.4333333	18.5
Spring17	Rhamnaceae	CA	3	7	225.5333333	14
Spring17	Rhamnaceae	CA	3	8	230.1333333	18
Spring17	Rhamnaceae	CA	4	6	171.3666667	20
Spring17	Rhamnaceae	CA	4	7	206.8666667	18
Spring17	Rhamnaceae	CA	4	8	195.8333333	20
Spring17	Rhamnaceae	CA	5	6	149.1333333	21.5
Spring17	Rhamnaceae	CA	5	7	197.975	17.25
Spring17	Rhamnaceae	CA	5	8	218.375	17
Summer17	Rhamnaceae	CA	1	1	49.25	40.5
Summer17	Rhamnaceae	CA	1	2	46.2	49
Summer17	Rhamnaceae	CA	1	3	49.26666667	58
Summer17	Rhamnaceae	CA	1	4	60.16666667	50.5
Summer17	Rhamnaceae	CA	2	1	97.33333333	40.5
Summer17	Rhamnaceae	CA	2	2	77.53333333	52
Summer17	Rhamnaceae	CA	2	3	74.36666667	58.5
Summer17	Rhamnaceae	CA	2	4	84.66666667	51.5
Summer17	Rhamnaceae	CA	3	1	101.3333333	46.5
Summer17	Rhamnaceae	CA	3	2	72	50.5
Summer17	Rhamnaceae	CA	3	3	54.7	52.5
Summer17	Rhamnaceae	CA	3	4	63.03333333	53
Summer17	Rhamnaceae	CA	4	1	72.65	42.5
Summer17	Rhamnaceae	CA	4	2	73.8	53
Summer17	Rhamnaceae	CA	4	3	69.66666667	48.5
Summer17	Rhamnaceae	CA	4	4	50.03333333	43.5
Summer17	Rhamnaceae	CA	5	1	104.5333333	49
Summer17	Rhamnaceae	CA	5	2	80.175	53.5
Summer17	Rhamnaceae	CA	5	3	57.16666667	62
Summer17	Rhamnaceae	CA	5	4	67.53333333	54.5
Spring17	Polygonaceae	CD	1	1	43.23333333	48
Spring17	Polygonaceae	CD	1	2	52.7	29
Spring17	Polygonaceae	CD	1	3	67.5	36.75
Spring17	Polygonaceae	CD	1	4	47.86666667	20
Spring17	Polygonaceae	CD	1	5	50.9	29
Spring17	Polygonaceae	CD	2	1	39.96666667	47
Spring17	Polygonaceae	CD	2	2	39.53333333	30.5
Spring17	Polygonaceae	CD	2	3	45.06666667	35.5
Spring17	Polygonaceae	CD	2	4	48.46666667	19
Spring17	Polygonaceae	CD	2	5	42.96666667	29
Spring17	Polygonaceae	CD	3	1	39.7	49
Spring17	Polygonaceae	CD	3	2	54.76666667	35.5
Spring17	Polygonaceae	CD	3	3	42.83333333	38.5
Spring17	Polygonaceae	CD	3	4	54.63333333	22
Spring17	Polygonaceae	CD	3	5	49.2	32
Spring17	Polygonaceae	CD	4	1	33.1	49
Spring17	Polygonaceae	CD	4	2	31.76666667	37
Spring17	Polygonaceae	CD	4	3	35.26666667	41
Spring17	Polygonaceae	CD	4	4	46.13333333	23
Spring17	Polygonaceae	CD	4	5	55.33333333	34.5
Spring17	Polygonaceae	CD	5	1	26.1	49.5
Spring17	Polygonaceae	CD	5	2	40.8	39
Spring17	Polygonaceae	CD	5	3	33.6	43
Spring17	Polygonaceae	CD	5	4	45.43333333	24
Spring17	Polygonaceae	CD	5	5	34.03333333	36
Spring17	Polygonaceae	CD	6	1	24.16666667	40.5
Spring17	Polygonaceae	CD	6	2	33.63333333	34
Spring17	Polygonaceae	CD	6	3	31.7	38
Spring17	Polygonaceae	CD	6	4	29.6	29
Spring17	Polygonaceae	CD	6	5	44.36666667	37
Spring17	Polygonaceae	CM	1	1	84	42
Spring17	Polygonaceae	CM	1	2	70.06666667	40
Spring17	Polygonaceae	CM	1	3	77.1	27
Spring17	Polygonaceae	CM	1	4	82.56666667	51
Spring17	Polygonaceae	CM	1	5	47.43333333	51
Spring17	Polygonaceae	CM	2	1	102.7	44
Spring17	Polygonaceae	CM	2	2	145.9	40
Spring17	Polygonaceae	CM	2	3	134.9	29.5
Spring17	Polygonaceae	CM	2	4	74.23333333	51.5
Spring17	Polygonaceae	CM	2	5	63.725	50.5
Spring17	Polygonaceae	CM	3	1	79.56666667	44.5
Spring17	Polygonaceae	CM	3	2	89.66666667	44
Spring17	Polygonaceae	CM	3	3	136.775	39
Spring17	Polygonaceae	CM	3	4	42.05	54
